name,duration,warmup,width,height,fps,codec,encoder,decoder,test_pattern,headless,render_path,keep_window_front,render_vsync,host_load_interval,min_frame_coverage_pct,min_time_coverage_pct,max_sink_gap_p95_ms,max_paint_gap_p95_ms,max_receive_to_paint_p95_ms,max_e2e_p95_ms,max_capture_to_packetize_p95_ms,max_encoder_upload_to_output_p95_ms,notes
local-h264-default-720p30-pattern-headless-probe,30,10,1280,720,30,h264,,default,true,true,auto,,,2,80,80,100,,,,25,25,Short diagnostic run; may be host-contaminated and is not a soak pass.
local-h264-default-720p30-pattern-visible-probe,30,10,1280,720,30,h264,,default,true,false,cpu,true,true,2,80,80,100,100,75,100,25,25,Short diagnostic run; keeps the visible window foregrounded and uses vsync after it smoothed the default visible path in longer diagnostics.
local-h264-software-720p30-pattern-headless-probe,30,10,1280,720,30,h264,software,default,true,true,auto,,,2,80,80,100,,,,25,25,Short diagnostic run; may be host-contaminated and is not a soak pass.
local-h264-software-720p30-pattern-visible-probe,30,10,1280,720,30,h264,software,default,true,false,cpu,true,,2,80,80,100,100,75,100,25,25,Short diagnostic run; keeps the visible window foregrounded to avoid background render throttling.
